Timestamp,time,Timestamp,Year,DOY (DOY),Timee (min),CO2 ( umol/mol),RH (%),UST (m/s),UTop (m/s),Tatop (deg C),PAR (umol/m2/s),PRESS (kPa),Rn (w/m2),EVobs (W/m^2),Soil moisture (%),Precipitation (mm),VPD (kpa),SapFlux_mangrove_5mm (kg/m2-sapwood/s),SapFlux_mangrove2,Salinity M,E ,Tw (water temp) K
4/28/2010,0:00,4/28/10 00:00,2010,118,0,403.4,62.92,0.199,7.3,18.25,0,100,-7.49,23.539,45,0,0.8026,0,0,0.6,0.97,296.483
4/28/2010,0:30,4/28/10 00:30,2010,118,30,406.76,64.94,0.2201,7.3,18.05,0,100,-10.12,32.95,45,0,0.7529,0,0,0.6,0.97,296.483
4/28/2010,1:00,4/28/10 01:00,2010,118,100,412.91,62.07,0.2583,7,17.92,0,100,-8.75,55.034,45,0,0.814,0,0,0.6,0.97,296.483
4/28/2010,1:30,4/28/10 01:30,2010,118,130,419.72,61.99,0.2641,7,17.87,0,100,-15.77,69.563,45,0,0.818,0,0,0.6,0.97,296.483
4/28/2010,2:00,4/28/10 02:00,2010,118,200,430.4,59.6,0.2721,6.6,17.97,0,100,-10.1,62.186,45,0,0.8927,0,0,0.6,0.97,296.483
4/28/2010,2:30,4/28/10 02:30,2010,118,230,428.97,61.62,0.3817,6.6,18.07,0,100,-19.28,92.58,45,0,0.8451,0,0,0.6,0.97,296.483
4/28/2010,3:00,4/28/10 03:00,2010,118,300,435.48,64.03,0.3069,6.3,18.1,0,100,-22.93,74.816,45,0,0.7811,0,0,0.6,0.97,296.483
4/28/2010,3:30,4/28/10 03:30,2010,118,330,448.65,65.65,0.3273,6.3,18.05,0,100,-15.04,90.065,45,0,0.7399,0,0,0.6,0.97,296.483
4/28/2010,4:00,4/28/10 04:00,2010,118,400,464.89,64.55,0.2858,6.3,17.84,0,100,-31.87,91.787,45,0,0.7463,0,0,0.6,0.97,296.483
4/28/2010,4:30,4/28/10 04:30,2010,118,430,472.37,64.82,0.304,6.3,17.62,0,100,-34.89,55.052,45,0,0.7316,0,0,0.6,0.97,296.483
4/28/2010,5:00,4/28/10 05:00,2010,118,500,463,67.27,0.318,6,17.34,0,100,-9.8,59.61,45,0,0.6718,0,0,0.6,0.97,296.483
4/28/2010,5:30,4/28/10 05:30,2010,118,530,465.23,68.71,0.305,6,17.06,0.02,100,33.12,73.701,45,0,0.6295,0.007981958,0.007981958,0.6,0.97,296.483
4/28/2010,6:00,4/28/10 06:00,2010,118,600,442.35,68.94,0.3058,6.3,16.89,0.03,100,76,54.896,45,0,0.6294,0.165724051,0.165724051,0.6,0.97,296.483
4/28/2010,6:30,4/28/10 06:30,2010,118,630,417.15,68.2,0.2233,6.3,16.81,6.43,100,120.3,51.394,45,0,0.6451,0.216224868,0.216224868,0.6,0.97,296.483
4/28/2010,7:00,4/28/10 07:00,2010,118,700,402.08,65.84,0.2785,7.8,16.98,79.82,100,239.6,44.038,45,0,0.7026,0.254068286,0.254068286,0.6,0.97,296.483
4/28/2010,7:30,4/28/10 07:30,2010,118,730,386.38,61.65,0.1614,7.8,17.79,228.5,100,345.1,24.029,45,0,0.8304,0.326486966,0.326486966,0.6,0.97,296.483
4/28/2010,8:00,4/28/10 08:00,2010,118,800,375.76,59.17,0.1048,9.8,19.1,442.9,100,434.1,7.494,45,0,0.9256,1.20251385,1.20251385,0.6,0.97,296.483
4/28/2010,8:30,4/28/10 08:30,2010,118,830,370.85,55.57,0.095,9.8,21.02,690.35,100,461.2,7.494,45,0,1.0614,2.277070931,2.277070931,0.6,0.97,296.483
4/28/2010,9:00,4/28/10 09:00,2010,118,900,367.52,54.31,0.078,10.6,23.1,833.2,100,508,7.494,45,0,1.1194,3.346388257,3.346388257,0.6,0.97,296.483
4/28/2010,9:30,4/28/10 09:30,2010,118,930,375.49,52.41,0.0758,10.6,23.1,1072.5,100,587.2,7.494,45,0,1.1978,4.322823663,4.322823663,0.6,0.97,296.483
4/28/2010,10:00,4/28/10 10:00,2010,118,1000,374.62,49.75,0.0743,11.2,25.61,1415,100,634.1,7.494,45,0,1.3075,5.701905908,5.701905908,0.6,0.97,296.483
4/28/2010,10:30,4/28/10 10:30,2010,118,1030,371,49.98,0.0908,11.2,29.08,1586,100,661.7,-2.726,45,0,1.3357,5.071407245,5.071407245,0.6,0.97,296.483
