TIMESTAMP_START,TIMESTAMP_END,P_F,TA_F,SW_IN_F,VPD_F,WS_F,USTAR,PPFD_IN,CO2_F,PA_F,RH,SW_IN_FC,Salinity_ppt,SapFlux_mangrove_5mm (g/m2-sapwood/s),SapFlux_mangrove2,Sapflux_L/h,Sapwood depth ,DBH,area,hardwood area,SA_cm2,SA_m2
4/28/2010 0:00,4/28/2010 0:30,0,18.25,-7.49,8.026,7.3,0.199,0,403.4,100,62.92,,,0,0,0,1.4,4,12.56637061,5.309291585,7.25707903,0.000725708
4/28/2010 0:30,4/28/2010 1:00,0,18.05,-10.12,7.529,7.3,0.2201,0,406.76,100,64.94,,,0,0,0,,,,,,
4/28/2010 1:00,4/28/2010 1:30,0,17.92,-8.75,8.14,7,0.2583,0,412.91,100,62.07,,,0,0,0,,,,,,
4/28/2010 1:30,4/28/2010 2:00,0,17.87,-15.77,8.18,7,0.2641,0,419.72,100,61.99,,,0,0,0,,,,,,
4/28/2010 2:00,4/28/2010 2:30,0,17.97,-10.1,8.927,6.6,0.2721,0,430.4,100,59.6,,,0,0,0,,,,,,
4/28/2010 2:30,4/28/2010 3:00,0,18.07,-19.28,8.451,6.6,0.3817,0,428.97,100,61.62,,,0,0,0,,,,,,
4/28/2010 3:00,4/28/2010 3:30,0,18.1,-22.93,7.811,6.3,0.3069,0,435.48,100,64.03,,,0,0,0,,,,,,
4/28/2010 3:30,4/28/2010 4:00,0,18.05,-15.04,7.399,6.3,0.3273,0,448.65,100,65.65,,,0,0,0,,,,,,
4/28/2010 4:00,4/28/2010 4:30,0,17.84,-31.87,7.463,6.3,0.2858,0,464.89,100,64.55,,,0,0,0,,,,,,
4/28/2010 4:30,4/28/2010 5:00,0,17.62,-34.89,7.316,6.3,0.304,0,472.37,100,64.82,,,0,0,0,,,,,,
4/28/2010 5:00,4/28/2010 5:30,0,17.34,-9.8,6.718,6,0.318,0,463,100,67.27,,,0,0,0,,,,,,
4/28/2010 5:30,4/28/2010 6:00,0,17.06,33.12,6.295,6,0.305,0.02,465.23,100,68.71,,,0.007981958,0.007981958,2.08533E-05,,,,,,
4/28/2010 6:00,4/28/2010 6:30,0,16.89,76,6.294,6.3,0.3058,0.03,442.35,100,68.94,,,0.165724051,0.165724051,0.000432962,,,,,,
